0	x o1 ŋ͡m
bở	b ɤ4
bợ	b ɤ6
boa	bw ʷa1
bóc	b ɔ5 k͡p
bốc	b o5 k͡p
bọc	b ɔ6 k͡p
bộc	b o6 k͡p
bói	b ɔ5 j
bòi	b ɔ2 j
bôi	b o1 j
bối	b o5 j
bồi	b o2 j
bỏi	b ɔ4 j
bơi	b ɤ1 j
bổi	b o4 j
bới	b ɤ5 j
bời	b ɤ2 j
bội	b o6 j
bởi	b ɤ4 j
bom	b ɔ1 m
bòm	b ɔ2 m
bôm	b o1 m
bõm	b ɔ3 m
bồm	b o2 m
bỏm	b ɔ4 m
bơm	b ɤ1 m
bờm	b ɤ2 m
bợm	b ɤ6 m
bon	b ɔ1 n
bón	b ɔ5 n
bòn	b ɔ2 n
bôn	b o1 n
bốn	b o5 n
bồn	b o2 n
bơn	b ɤ1 n
bổn	b o4 n
bọn	b ɔ6 n
bờn	b ɤ2 n
bỡn	b ɤ3 n
bộn	b o6 n
bợn	b ɤ6 n
bong	b ɔ1 ŋ͡m
bóng	b ɔ5 ŋ͡m
bòng	b ɔ2 ŋ͡m
bông	b o1 ŋ͡m
bõng	b ɔ3 ŋ͡m
bống	b o5 ŋ͡m
bồng	b o2 ŋ͡m
bỗng	b o3 ŋ͡m
bỏng	b ɔ4 ŋ͡m
bổng	b o4 ŋ͡m
bọng	b ɔ6 ŋ͡m
bộng	b o6 ŋ͡m
boong	b ɔ1 ŋ͡m
boóng	b ɔ5 ŋ͡m
bóp	b ɔ5 p
bốp	b o5 p
bọp	b ɔ6 p
bớp	b ɤ5 p
bộp	b o6 p
bợp	b ɤ6 p
bót	b ɔ5 t
bốt	b o5 t
bọt	b ɔ6 t
bớt	b ɤ5 t
bột	b o6 t
bợt	b ɤ6 t
bu	b u1
bú	b u5
bù	b u2
bủ	b u4
bư	b ɯ1
bụ	b u6
bứ	b ɯ5
bự	b ɯ6
bua	b uə1
buá	bw ʷa5
búa	b uə5
bùa	b uə2
bủa	b uə4
bưa	b ɯə1
bụa	b uə6
bứa	b ɯə5
bừa	b ɯə2
bữa	b ɯə3
bửa	b ɯə4
bựa	b ɯə6
bục	b u6 k͡p
bức	b ɯ5 k
bực	b ɯ6 k
búi	b u5 j
bùi	b u2 j
bụi	b u6 j
bùm	b u2 m
bũm	b u3 m
bủm	b u4 m
bụm	b u6 m
bun	b u1 n
bún	b u5 n
bùn	b u2 n
bủn	b u4 n
bung	b u1 ŋ͡m
búng	b u5 ŋ͡m
bùng	b u2 ŋ͡m
bủng	b u4 ŋ͡m
bưng	b ɯ1 ŋ
bụng	b u6 ŋ͡m
bứng	b ɯ5 ŋ
bừng	b ɯ2 ŋ
bửng	b ɯ4 ŋ
buộc	b uə6 k
bước	b ɯə5 k
buồi	b uə2 j
buổi	b uə4 j
bươi	b ɯə1 j
bưởi	b ɯə4 j
buồm	b uə2 m
bươm	b ɯə1 m
bướm	b ɯə5 m
buôn	b uə1 n
buồn	b uə2 n
bươn	b ɯə1 n
buông	b uə1 ŋ
buồng	b uə2 ŋ
bương	b ɯə1 ŋ
bướng	b ɯə5 ŋ
bướp	b ɯə5 p
buốt	b uə5 t
buột	b uə6 t
bượt	b ɯə6 t
bươu	b ɯə1 w
bướu	b ɯə5 w
búp	b u5 p
bụp	b u6 p
bút	b u5 t
bụt	b u6 t
bứt	b ɯ5 t
bựt	b ɯ6 t
bưu	b ɯ1 w
bửu	b ɯ4 w
buýt	bw ʷi5 t
c	s i5
ca	k a1
cá	k a5
cà	k a2
cả	k a4
cạ	k a6
các	k a5 k
cấc	k ɤ̆5 k
cắc	k ă5 k
cạc	k a6 k
cặc	k ă6 k
cách	k a5 tʃ
cạch	k a6 tʃ
cai	k a1 j
cái	k a5 j
cài	k a2 j
cãi	k a3 j
cải	k a4 j
calo	k a5 l oʊ1
cam	k a1 m
cám	k a5 m
câm	k ɤ̆1 m
căm	k ă1 m
cấm	k ɤ̆5 m
cầm	k ɤ̆2 m
cắm	k ă5 m
cằm	k ă2 m
cẫm	k ɤ̆3 m
cảm	k a4 m
cẩm	k ɤ̆4 m
cạm	k a6 m
cặm	k ă6 m
can	k a1 n
cán	k a5 n
càn	k a2 n
cân	k ɤ̆1 n
căn	k ă1 n
cấn	k ɤ̆5 n
cần	k ɤ̆2 n
cắn	k ă5 n
cằn	k ă2 n
cẫn	k ɤ̆3 n
cản	k a4 n
cẩn	k ɤ̆4 n
cẳn	k ă4 n
cạn	k a6 n
cận	k ɤ̆6 n
cặn	k ă6 n
cang	k a1 ŋ
cáng	k a5 ŋ
càng	k a2 ŋ
câng	k ɤ̆1 ŋ
căng	k ă1 ŋ
cằng	k ă2 ŋ
cẫng	k ɤ̆3 ŋ
cẵng	k ă3 ŋ
cảng	k a4 ŋ
cẳng	k ă4 ŋ
canh	k ɛ1 ɲ
cánh	k ɛ5 ɲ
cành	k ɛ2 ɲ
cảnh	k ɛ4 ɲ
cạnh	k ɛ6 ɲ
cao	k a1 w
cáo	k a5 w
cào	k a2 w
cảo	k a4 w
cạo	k a6 w
cáp	k a5 p
cấp	k ɤ̆5 p
cắp	k ă5 p
cạp	k a6 p
cập	k ɤ̆6 p
cặp	k ă6 p
casino	k ə1 s i5 n oʊ1
cát	k a5 t
cất	k ɤ̆5 t
cắt	k ă5 t
cạt	k a6 t
cật	k ɤ̆6 t
cặt	k ă6 t
cau	k ă1 w
cáu	k ă5 w
càu	k ă2 w
câu	k ɤ̆1 w
cấu	k ɤ̆5 w
cầu	k ɤ̆2 w
cảu	k ă4 w
cẩu	k ɤ̆4 w
cạu	k ă6 w
cậu	k ɤ̆6 w
caught	k a5 t
cay	k ă1 j
cáy	k ă5 j
cày	k ă2 j
cây	k ɤ̆1 j
cấy	k ɤ̆5 j
cầy	k ɤ̆2 j
cảy	k ă4 j
cẩy	k ɤ̆4 j
cạy	k ă6 j
cậy	k ɤ̆6 j
cha	c a1
chá	c a5
chà	c a2
chã	c a3
chả	c a4
chạ	c a6
chác	c a5 k
chắc	c ă5 k
chạc	c a6 k
chậc	c ɤ̆6 k
chặc	c ă6 k
chạch	c a6 tʃ
chai	c a1 j
chái	c a5 j
chài	c a2 j
chãi	c a3 j
chải	c a4 j
chàm	c a2 m
châm	c ɤ̆1 m
chăm	c ă1 m
chấm	c ɤ̆5 m
chầm	c ɤ̆2 m
chắm	c ă5 m
chằm	c ă2 m
chẩm	c ɤ̆4 m
chạm	c a6 m
chậm	c ɤ̆6 m
chặm	c ă6 m
chan	c a1 n
chán	c a5 n
chân	c ɤ̆1 n
chăn	c ă1 n
chấn	c ɤ̆5 n
chần	c ɤ̆2 n
chắn	c ă5 n
chằn	c ă2 n
chẵn	c ă3 n
chẩn	c ɤ̆4 n
chẳn	c ă4 n
chạn	c a6 n
chận	c ɤ̆6 n
chặn	c ă6 n
chang	c a1 ŋ
cháng	c a5 ŋ
chàng	c a2 ŋ
chăng	c ă1 ŋ
chằng	c ă2 ŋ
chẳng	c ă4 ŋ
chạng	c a6 ŋ
chặng	c ă6 ŋ
chanh	c ɛ1 ɲ
chánh	c ɛ5 ɲ
chành	c ɛ2 ɲ
chảnh	c ɛ4 ɲ
chạnh	c ɛ6 ɲ
chao	c a1 w
cháo	c a5 w
chào	c a2 w
chão	c a3 w
chảo	c a4 w
chạo	c a6 w
chấp	c ɤ̆5 p
chắp	c ă5 p
chạp	c a6 p
chập	c ɤ̆6 p
chặp	c ă6 p
chát	c a5 t
chất	c ɤ̆5 t
chắt	c ă5 t
chạt	c a6 t
chật	c ɤ̆6 t
