0	x o1 ŋ͡m
cựu	k ɯ6 w
d	d i5
đ	d ɤ2
da	z a1
dá	z a5
dà	z a2
dã	z a3
dả	z a4
dạ	z a6
đa	d a1
đá	d a5
đà	d a2
đã	d a3
đả	d a4
dác	z a5 k
dạc	z a6 k
dặc	z ă6 k
đác	d a5 k
đắc	d ă5 k
đạc	d a6 k
đặc	d ă6 k
đách	d a5 tʃ
đạch	d a6 tʃ
dai	z a1 j
dái	z a5 j
dài	z a2 j
dãi	z a3 j
dải	z a4 j
dại	z a6 j
đai	d a1 j
đái	d a5 j
đài	d a2 j
đãi	d a3 j
đại	d a6 j
dam	z a1 m
dám	z a5 m
dâm	z ɤ̆1 m
dăm	z ă1 m
dấm	z ɤ̆5 m
dầm	z ɤ̆2 m
dằm	z ă2 m
dẫm	z ɤ̆3 m
dạm	z a6 m
dậm	z ɤ̆6 m
dặm	z ă6 m
đam	d a1 m
đám	d a5 m
đàm	d a2 m
đâm	d ɤ̆1 m
đăm	d ă1 m
đấm	d ɤ̆5 m
đầm	d ɤ̆2 m
đắm	d ă5 m
đằm	d ă2 m
đẫm	d ɤ̆3 m
đẵm	d ă3 m
đảm	d a4 m
đạm	d a6 m
đậm	d ɤ̆6 m
dan	z a1 n
dán	z a5 n
dàn	z a2 n
dân	z ɤ̆1 n
dăn	z ă1 n
dãn	z a3 n
dấn	z ɤ̆5 n
dần	z ɤ̆2 n
dằn	z ă2 n
dẫn	z ɤ̆3 n
dẩn	z ɤ̆4 n
dạn	z a6 n
dận	z ɤ̆6 n
dặn	z ă6 n
đan	d a1 n
đán	d a5 n
đàn	d a2 n
đần	d ɤ̆2 n
đắn	d ă5 n
đằn	d ă2 n
đẫn	d ɤ̆3 n
đẵn	d ă3 n
đản	d a4 n
đạn	d a6 n
đận	d ɤ̆6 n
đặn	d ă6 n
dang	z a1 ŋ
dáng	z a5 ŋ
dàng	z a2 ŋ
dâng	z ɤ̆1 ŋ
dăng	z ă1 ŋ
dãng	z a3 ŋ
dắng	z ă5 ŋ
dằng	z ă2 ŋ
dẳng	z ă4 ŋ
dạng	z a6 ŋ
đang	d a1 ŋ
đáng	d a5 ŋ
đàng	d a2 ŋ
đăng	d ă1 ŋ
đãng	d a3 ŋ
đấng	d ɤ̆5 ŋ
đắng	d ă5 ŋ
đằng	d ă2 ŋ
đẵng	d ă3 ŋ
đảng	d a4 ŋ
đẳng	d ă4 ŋ
đặng	d ă6 ŋ
danh	z ɛ1 ɲ
dành	z ɛ2 ɲ
dảnh	z ɛ4 ɲ
đanh	d ɛ1 ɲ
đánh	d ɛ5 ɲ
đành	d ɛ2 ɲ
dao	z a1 w
dáo	z a5 w
dào	z a2 w
dạo	z a6 w
đao	d a1 w
đáo	d a5 w
đào	d a2 w
đảo	d a4 w
đạo	d a6 w
dấp	z ɤ̆5 p
dập	z ɤ̆6 p
đáp	d a5 p
đắp	d ă5 p
đạp	d a6 p
đập	d ɤ̆6 p
dát	z a5 t
dắt	z ă5 t
dạt	z a6 t
dật	z ɤ̆6 t
dặt	z ă6 t
đát	d a5 t
đất	d ɤ̆5 t
đắt	d ă5 t
đạt	d a6 t
đật	d ɤ̆6 t
